neuronios,lr,seed,accuracy,precision,recall,f1,tempo
10,0.5,3,0.96,0.9430966263014288,0.8099999999999999,0.8701135489358484,0.5980432167999993
10,0.5,4,0.9662500000000002,0.9650654705366021,0.8275,0.8904198872515436,0.8436231834000069
10,0.5,5,0.9629166666666669,0.9602832234880261,0.8125,0.8790375570603837,0.6151066166000078
10,0.5,6,0.9650000000000001,0.9576571418094263,0.8275,0.8868638015947162,0.7913992916000098
10,0.5,7,0.9650000000000001,0.9632173930290369,0.8225,0.886062632403058,0.8760897415999921
10,0.5,8,0.9658333333333333,0.9687752300326326,0.8225,0.8885450637367743,0.7774764666000124
10,0.5,9,0.9645833333333333,0.9574706251320737,0.825,0.8855262429503125,0.7311647747999928
10,0.5,10,0.9641666666666666,0.9388176592845703,0.8400000000000001,0.8860032395241249,0.7092517914000155
20,0.05,1,0.9579166666666665,0.9415111387526206,0.7975,0.8626540218217562,2.253774150000004
20,0.05,2,0.95875,0.9421195174589492,0.8024999999999999,0.8655288740380535,2.262795724999978
20,0.05,3,0.9591666666666667,0.9451306121833503,0.8025,0.8668295088598365,2.217061491600009
20,0.05,4,0.9595833333333333,0.9483218200999122,0.8025,0.8680898738345547,2.257505608400004
20,0.05,5,0.9595833333333335,0.958249112667065,0.7925000000000001,0.8665004907182807,2.058400941600007
20,0.05,6,0.9570833333333333,0.9415680604020743,0.7925000000000001,0.8595626393413113,2.0479141250000112
20,0.05,7,0.9574999999999999,0.9367931900346719,0.8,0.8617066963828014,2.2914945415999797
20,0.05,8,0.9583333333333333,0.9471143873233846,0.7950000000000002,0.8633888251181357,2.23125426659999
20,0.05,9,0.9574999999999999,0.9390914928519773,0.7975,0.861473998976809,2.3212152247999938
20,0.05,10,0.9574999999999999,0.9388988957212767,0.7975,0.8613356368285945,2.1061447832
20,0.2,1,0.9658333333333333,0.961110294117647,0.8300000000000001,0.8896217184926861,1.4849900417999948
20,0.2,2,0.9645833333333333,0.9469464619887156,0.835,0.8863601946511155,1.2416141249999897
20,0.2,3,0.9650000000000001,0.939931735732024,0.8450000000000001,0.8889101782290636,1.3699681415999863
20,0.2,4,0.96125,0.9439061044967451,0.8175000000000001,0.8748758610532817,1.0354784249999966
20,0.2,5,0.9629166666666666,0.94996944783129,0.8225,0.8804012654012654,1.2044907418000093
20,0.2,6,0.9654166666666667,0.9555796658102906,0.8325000000000001,0.8888260920332438,1.1555403002000275
20,0.2,7,0.9633333333333333,0.945725796055347,0.8299999999999998,0.8823419377086447,1.2886886832000073
20,0.2,8,0.9625,0.9433455963467509,0.825,0.8791495741084475,1.379253708200008
20,0.2,9,0.9633333333333333,0.9569457300919433,0.8175000000000001,0.880643674466642,1.0014813666000009
20,0.2,10,0.9662499999999999,0.9564542892069345,0.8375,0.8917111481260708,1.23839180020002
20,0.5,1,0.9658333333333333,0.9663786855036856,0.825,0.888904019091823,0.7637982584000156
20,0.5,2,0.9616666666666667,0.9315898392512878,0.8324999999999999,0.8784658973705503,0.728775650200032
20,0.5,3,0.9637499999999999,0.9468802776171197,0.8299999999999998,0.883599440974302,0.8477099750000207
20,0.5,4,0.9675,0.9664647675393944,0.835,0.8949666616026063,0.8564875666000035
20,0.5,5,0.9645833333333333,0.9466781251861656,0.835,0.8868521075964815,0.9090733415999693
20,0.5,6,0.9629166666666666,0.9492067289435709,0.8225,0.8803668799357336,0.849247616599996
20,0.5,7,0.9645833333333333,0.9551470658337097,0.8275,0.8858886417006551,0.6356104585999901
20,0.5,8,0.9666666666666668,0.953435460959299,0.8425,0.8934892895219161,0.9114535414000102
20,0.5,9,0.9650000000000001,0.9653774193216114,0.82,0.8860166832485541,0.8043216666000262
20,0.5,10,0.9625,0.9516511538951932,0.8175000000000001,0.8783657443623593,0.7595220581999683
