neuronios,lr,seed,accuracy,precision,recall,f1,tempo
10,0.01,6,0.9225,0.8522419928458984,0.6475,0.7345626112437648,2.250917849799987
10,0.01,7,0.9220833333333334,0.8709677419354838,0.6275000000000001,0.7277724450363224,2.252510408399985
10,0.01,8,0.9245833333333333,0.8773807340337522,0.6375,0.7370345532407411,2.2502022915999986
10,0.01,9,0.9208333333333332,0.8510059240907406,0.6375,0.7272952538359513,2.25288091660002
10,0.01,10,0.9258333333333333,0.8673404373404372,0.6575,0.746207736524222,2.2591005165999833
10,0.1,1,0.9591666666666667,0.9416260422166829,0.8074999999999999,0.8681242458688592,1.6983500247999928
10,0.1,2,0.96,0.9519309220802151,0.8025,0.8696057656666184,1.7825997166000207
10,0.1,3,0.95625,0.9359588080724336,0.7924999999999999,0.8575333798437903,1.6820534498000144
10,0.1,4,0.9637499999999999,0.9631413028954012,0.8149999999999998,0.8815227631013951,1.8986119667999901
10,0.1,5,0.9620833333333334,0.9463415928311564,0.82,0.8773183436532872,1.5462874834000104
10,0.1,6,0.9625,0.9458155458278938,0.8225000000000001,0.8789442934398497,1.7911520915999972
10,0.1,7,0.9633333333333333,0.9514059090400279,0.8225,0.8814367441521304,1.7951739911999993
10,0.1,8,0.9637499999999999,0.9550099279345343,0.8225,0.8828177817309794,1.851161558400031
10,0.1,9,0.9650000000000001,0.9614893397878257,0.825,0.8865539188943444,2.003613441600032
10,0.1,10,0.96125,0.945886669883049,0.8149999999999998,0.8745442077063383,1.8344545249999555
20,0.001,1,0.8566666666666667,0.9162745098039216,0.155,0.2632553704859525,2.3883980252000354
20,0.001,2,0.8574999999999999,0.9468253968253968,0.1525,0.2616809372337575,2.3646059831999993
20,0.001,3,0.87375,0.9121778221778222,0.27,0.41496643826424817,2.3659816500000033
20,0.001,4,0.8637500000000001,0.9378030303030304,0.19749999999999998,0.3250794595553787,2.3735773163999965
20,0.001,5,0.8625,0.8966638249502699,0.19749999999999998,0.3223301572919387,2.364428091400009
20,0.001,6,0.8666666666666668,0.931176425913268,0.21749999999999997,0.3513691697641579,2.361447341599978
20,0.001,7,0.8658333333333333,0.923611111111111,0.215,0.34720925709442796,2.364303758400001
20,0.001,8,0.8566666666666667,0.9162745098039216,0.155,0.26371134020618553,2.364459216599994
20,0.001,9,0.87375,0.9024844720496894,0.27249999999999996,0.41731053364236104,2.3568842915999992
20,0.001,10,0.8695833333333333,0.9350877192982455,0.23500000000000001,0.3738028053817527,2.3619809834000534
20,0.01,1,0.9204166666666665,0.8443960864404414,0.6425000000000001,0.7280628597076599,2.36551790780004
20,0.01,2,0.925,0.8635670800578297,0.655,0.7436396145755354,2.3604615000000195
20,0.01,3,0.9241666666666667,0.8578829345946029,0.655,0.741232973342767,2.3686864413999955
20,0.01,4,0.92125,0.8644020251778872,0.625,0.7240001393534002,2.366995991600015
20,0.01,5,0.925,0.8719354743147607,0.6449999999999999,0.7404502287401848,2.363838741599989
20,0.01,6,0.9229166666666666,0.8488937138130688,0.655,0.7381467277107532,2.3653481498000017
20,0.01,7,0.9266666666666667,0.8742226948678562,0.655,0.7473940726587642,2.3692032001999905
20,0.01,8,0.9195833333333333,0.8407039691664812,0.64,0.7253778834420157,2.3696672999999917
20,0.01,9,0.9245833333333333,0.8654594663728152,0.65,0.7404481522193633,2.3717670168000042
20,0.01,10,0.9283333333333333,0.8801778068911096,0.6599999999999999,0.7530021373063749,2.3637502584000005
20,0.1,1,0.9620833333333334,0.9509105203707262,0.8149999999999998,0.8768095194963756,2.0968054335999797
20,0.1,2,0.9633333333333333,0.9518163646238588,0.8225,0.8812038260024838,1.898640575000013
20,0.1,3,0.9629166666666666,0.9446766290889153,0.8274999999999999,0.8806971491307459,1.9088341000000355
20,0.1,4,0.96125,0.9454720761848734,0.8149999999999998,0.8743651887303269,1.865219224999987
20,0.1,5,0.9616666666666666,0.9489402570376871,0.8150000000000001,0.8757429896714601,1.790772525000034
20,0.1,6,0.9595833333333333,0.9461045771257574,0.805,0.868568685289854,1.7521616247999874
20,0.1,7,0.9625,0.9466182825518429,0.8225,0.8790349333813943,1.8799732834000225
20,0.1,8,0.9633333333333335,0.9565385069201924,0.8175000000000001,0.8806753813693036,2.0776406166000014
20,0.1,9,0.9625,0.949479873910614,0.82,0.8786635197471796,1.8886292334000019
20,0.1,10,0.9625,0.9598027963359902,0.8099999999999999,0.877248794555476,1.4720955415999697
